question,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"In a study, a group of 10-year-old boys are fed doughnuts every morning for a week and then weighed to see how much weight they gained. Which factor is the dependent variable?",3,1,32,93.21,58.66,75.23,,16,18.75,93.75,71.88,53.13,6.25,3.13,0,0,0,0,3.13,3.13,18.75,12.5,3.13,12.5,6.25,3.13,6.25,0,12.5,3.13,15.63,3.13,0,3.13,0,15.63,3.13,12.5,3.13,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,9.38,0,0,0,3.13,0,0,0,0,3.13,0,0,3.13,0,0,3.13,0,0,0,0,0,0,3.13,0,0,0,3.13,0,0,0,3.13,0,0,3.13,6.25,0,0,3.13,3.13,0,0,9.38,3.13,6.25,0,0,0,0,0,0,15.63,3.13,3.13,3.13,0,0,6.25,0
Which materials are considered secondary data?,0,1,6,10.19,1,99,,6,50,66.67,66.67,33.33,16.67,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,0,33.33,16.67,0,0,0,0,0,33.33,0,33.33,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
What method did researchers John Mihelich and John Papineau use to study Parrotheads?,0,1,13,53.56,81.78,,,13,30.77,61.54,38.46,30.77,7.69,0,0,0,0,0,0,7.69,0,0,0,7.69,7.69,0,7.69,0,15.38,0,0,0,0,0,0,15.38,0,15.38,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,15.38,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
Why is choosing a random sample an effective way to select participants?,1,1,12,97.04,84.23,89.39,99,12,25,100,66.67,41.67,0,0,0,0,0,0,0,0,16.67,16.67,0,8.33,8.33,8.33,0,0,8.33,16.67,8.33,8.33,0,8.33,0,33.33,0,33.33,16.67,8.33,0,8.33,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
Which research approach is best suited to the scientific method?,0,1,10,89.52,3.95,63.35,,10,30,90,60,40,10,0,0,0,0,0,0,10,10,10,0,10,10,0,0,0,10,20,0,10,0,10,0,30,0,30,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
Which best describes the results of a case study?,0,1,9,99,2.75,10.18,,9,22.22,88.89,55.56,44.44,11.11,0,0,0,0,0,0,11.11,22.22,22.22,0,11.11,0,0,0,0,0,11.11,0,11.11,0,11.11,0,22.22,0,22.22,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
Using secondary data is considered an unobtrusive or which research method?,1,1,11,45.12,1,95.15,,11,36.36,81.82,63.64,36.36,9.09,0,0,0,0,0,0,9.09,9.09,9.09,0,0,9.09,0,9.09,0,27.27,9.09,0,0,0,0,0,54.55,0,54.55,9.09,9.09,0,9.09,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
Which person or organization defined the concept of value neutrality?,0,1,10,89.52,3.95,99,,10,40,80,40,40,10,0,0,0,0,0,0,10,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,40,0,40,20,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0
"In most countries, what are elderly women in comparison to elderly men?",0,1,12,97.04,99,99,,12,33.33,91.67,66.67,50,8.33,0,0,0,0,0,0,8.33,8.33,0,0,25,8.33,0,0,0,8.33,25,8.33,0,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,16.67,0,8.33,0,0,0,0,0,0,16.67,0,8.33,8.33,0,0,0,0
America’s baby boomer generation has contributed to all of the following except which one?,2,1,14,99,9.23,72.58,,14,28.57,85.71,64.29,57.14,7.14,0,0,0,0,0,0,7.14,21.43,7.14,7.14,21.43,7.14,0,0,0,14.29,0,14.29,0,0,0,0,21.43,7.14,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,14.29,0,0,7.14,0,7.14,0,0
