"",question,label,question_ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
0,In this reaction  which compound acts as the reductant?,2,34,1,9,89.52,2.75,77.17,,9,33.33,66.67,55.56,55.56,22.22,0,0,0,0,0,0,22.22,22.22,11.11,0,22.22,0,0,11.11,0,0,0,0,0,0,0,0,22.22,0,22.22,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
1,Consider a scenario where Compound C is oxidized  and Compound D is reduced. If a new molecule  Compound F  acts similarly to Compound C in terms of electron transfer  what can we infer about F?,1,32,1,35,72.76,40.06,42.95,65.27,17.5,34.29,54.29,51.43,40,5.71,2.86,0,2.86,0,0,0,2.86,5.71,5.71,0,11.43,8.57,5.71,5.71,0,14.29,5.71,0,2.86,2.86,0,0,14.29,0,14.29,5.71,2.86,2.86,2.86,0,5.71,0,2.86,2.86,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,2.86,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,5.71,0,0,0,2.86,0,8.57,0,0,0,0,0,0,5.71,2.86,0,2.86,0,0,0,0
2,In the context of biological redox reactions  what does the term 'oxidation' refer to?,0,27,1,14,99,,24.32,,14,28.57,78.57,64.29,50,7.14,0,0,0,0,0,0,7.14,14.29,14.29,0,21.43,7.14,0,0,0,14.29,7.14,0,0,0,0,0,14.29,0,14.29,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,7.14,0,7.14,0,0,0,0,0,0,21.43,0,0,7.14,0,14.29,0,0
3,Which assumption is necessary for biologists' approach to teaching redox reactions to be considered easier for students to visualize?,3,36,1,19,98,40.06,70.28,92.27,19,47.37,94.74,57.89,42.11,5.26,0,0,0,0,0,0,5.26,0,0,0,26.32,10.53,0,0,0,15.79,10.53,0,0,0,0,0,21.05,0,21.05,10.53,5.26,0,5.26,0,5.26,0,5.26,5.26,0,0,0,0,0,0,0,0,10.53,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,15.79,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,10.53,0,5.26,0,5.26,0,0,0,5.26,5.26,0,0,0,0,0,0,10.53,0,0,5.26,0,5.26,0,0
4,Which of the following best describes the role of compound N in this reaction?,2,35,1,14,99,40.06,24.32,,14,28.57,85.71,64.29,50,14.29,0,0,0,0,0,0,14.29,21.43,14.29,0,21.43,0,0,0,0,7.14,7.14,0,7.14,0,7.14,0,14.29,0,14.29,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0
5,In this metabolic pathway  what happens to the glucose molecule when it transfers electrons to NAD+ molecules?,2,33,1,17,79.1,,46.57,,17,47.06,64.71,52.94,47.06,17.65,0,0,0,0,0,0,17.65,11.76,5.88,0,17.65,0,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,11.76,0,0,0,5.88,0,5.88,0,0,0,0,0,0,11.76,0,0,5.88,0,0,5.88,0
6,Which of the following statements best describes oxidation in biological terms?,1,30,1,11,99,5.27,50.45,,11,45.45,72.73,63.64,36.36,9.09,0,0,0,0,0,0,9.09,9.09,9.09,0,18.18,0,0,0,0,9.09,18.18,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
7,"Compare and contrast the chemists' and biologists' approaches to teaching redox reactions based on their conceptual models, ease of visualization, and application context.",3,38,1,23,89.52,18.24,44.75,,23,47.83,78.26,39.13,34.78,4.35,4.35,0,0,0,0,4.35,0,8.7,4.35,0,13.04,0,0,13.04,0,4.35,0,0,0,0,0,0,21.74,0,21.74,4.35,8.7,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,8.7,4.35,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,13.04,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,21.74,4.35,8.7,0,0,8.7,0,0
8,What is the term for a compound that donates electrons in a redox reaction?,0,29,1,14,99,,24.32,,14,28.57,78.57,57.14,57.14,14.29,0,0,0,0,0,0,14.29,28.57,21.43,0,14.29,7.14,0,0,0,7.14,0,0,7.14,7.14,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,7.14,0,7.14,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0
9,Given the reaction: X + Y → X+ + Y-  identify the roles of X and Y in terms of redox terminology.,1,31,1,19,99,70.59,8.42,,19,15.79,52.63,36.84,31.58,0,0,0,0,0,0,0,0,10.53,10.53,0,15.79,0,0,5.26,0,5.26,0,0,0,0,0,0,10.53,0,10.53,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,31.58,5.26,0,0,0,0,26.32,0
